Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Label
6,17,0,3.683542362,3.521640636,3.521640636,0,0.222222222,0,0,0,1
6,16,0,3.614369446,2,3.521640636,1,0.222222222,0,0,0,0
4,20,0,3.558518613,3.410417253,3.410417253,0,0.523809524,0,0,0,1
6,27,0,3.512479271,2.235926351,3.181366329,0,0.379310345,0,0,0,0
7,25,0,3.750464707,2.947702779,3.621928095,0,0.296296296,0,0,0,0
6,18,0,3.366091329,3.139572262,3.139572262,0,0.263157895,0,0,0,1
7,19,0,3.784941827,2,3.734521665,1,0.238095238,0,0,0,0
6,20,0,3.535174566,3.410417253,3.410417253,0,0.380952381,0,0,0,1
8,26,0,3.512188404,1.584962501,3.438721876,1,0.357142857,0,0,0,0
6,21,0,3.606936732,3.419381946,3.419381946,0,0.318181818,0,0,0,1
4,20,0,3.558518613,3.410417253,3.410417253,0,0.523809524,0,0,0,1
6,18,0,3.681880803,3.506890596,3.506890596,0,0.263157895,0,0,0,1
6,25,1,3.715453546,3.606936732,3.606936732,0,0.269230769,0,0,0,1
8,22,0,3.675310869,3.280639062,3.280639062,0,0.173913043,0,0,1,0
8,28,0,3.840402547,3.767183468,3.767183468,0,0.275862069,0,0,0,1
5,17,0,3.614369446,3.378783493,3.378783493,0,0.388888889,0,0,0,1
3,18,0,3.366091329,3.189898095,3.189898095,0,0.578947368,0,0,0,1
5,15,0,3.327819531,3.277613437,3.277613437,0,0.25,0,0,0,1
6,17,0,3.530493057,3.378783493,3.378783493,0,0.222222222,0,0,0,1
9,27,0,3.620936065,2.973557262,3.317640006,0,0.172413793,0,0,0,0
11,29,0,3.716630892,2.646439345,3.594465637,0,0.129032258,0,0,0,0
14,40,1,3.960437292,1.5,3.873221436,1,0.142857143,0,0,0,0
9,30,0,3.590018266,3.125,3.42511855,0,0.1875,0,0,0,0
6,25,0,3.488525295,3.299896391,3.299896391,0,0.423076923,0,0,0,1
5,19,0,3.541446071,3.375,3.375,0,0.25,0,0,0,1
5,18,0,3.576617645,3.373557262,3.373557262,0,0.315789474,0,0,0,1
5,15,0,3.452819531,2.947702779,2.947702779,0,0.25,0,0,0,0
6,22,0,3.522711956,3.446439345,3.446439345,0,0.347826087,0,0,0,1
5,13,0,3.378783493,2.807354922,2.807354922,1,0.285714286,0,0,0,0
6,23,0,3.855388542,3.68418372,3.68418372,0,0.375,0,0,0,1
7,21,0,3.572623664,3.350209029,3.350209029,0,0.272727273,0,0,0,1
5,21,0,3.588354347,2,3.546439345,1,0.47826087,0,0,0,0
5,28,0,3.745406426,3.67326969,3.67326969,0,0.379310345,0,0,0,1
7,23,0,3.886842188,3.821928095,3.821928095,0,0.208333333,0,0,0,1
8,23,0,3.490601563,3.175123135,3.175123135,0,0.166666667,0,0,0,0
4,25,0,3.719294526,3.689703732,3.689703732,0,0.423076923,0,0,0,1
4,21,0,3.697845823,3.240223929,3.240223929,0,0.5,0,0,0,0
7,17,1,3.576617645,1.584962501,3.418295834,1,0.210526316,0,0,0,0
5,16,0,3.4548224,3.180832987,3.180832987,0,0.235294118,0,0,0,1
5,28,0,3.49557496,3.429275071,3.429275071,0,0.448275862,0,0,0,1
5,20,0,3.653756708,3.4548224,3.4548224,0,0.380952381,0,0,0,1
5,16,0,3.499227547,3.238901257,3.238901257,0,0.235294118,0,0,0,1
11,32,0,3.782623783,3.169925001,3.522055209,0,0.147058824,0,0,0,0
6,23,0,3.740601563,3.546439345,3.546439345,0,0.291666667,0,0,0,1
6,16,0,3.197159723,2.807354922,3.027169118,0,0.222222222,0,0,0,0
6,22,0,3.74095326,3.576617645,3.576617645,0,0.304347826,0,0,0,1
6,18,0,3.681880803,3.506890596,3.506890596,0,0.210526316,0,0,0,1
6,17,0,3.681880803,2.807354922,3.418295834,0,0.210526316,0,0,0,0
6,19,0,3.68418372,3.452819531,3.452819531,0,0.2,0,0,0,1
6,30,0,3.792905988,3.689891669,3.689891669,0,0.35483871,0,0,0,1
6,21,0,3.823067982,3.683542362,3.683542362,0,0.272727273,0,0,0,1
6,18,0,3.471354487,3.189898095,3.189898095,0,0.210526316,0,0,0,1
4,18,1,3.576617645,3.251629167,3.251629167,0,0.315789474,1,0,0,1
6,23,0,3.625814584,3.446439345,3.446439345,0,0.375,0,0,0,1
6,23,0,3.709147917,3.546439345,3.546439345,0,0.375,0,0,0,1
6,24,0,3.54346519,3.356492414,3.356492414,0,0.44,0,0,0,1
6,18,0,3.681880803,3.456564762,3.456564762,0,0.210526316,0,0,0,1
6,27,0,3.676440909,2.521640636,3.471354487,0,0.379310345,0,0,0,0
6,18,0,3.93213804,3.773557262,3.773557262,0,0.210526316,0,0,0,1
6,20,0,3.725650756,3.499227547,3.499227547,0,0.333333333,0,0,0,1
5,15,0,3.625,3.251629167,3.251629167,0,0.3125,0,0,0,1
7,20,0,3.594465637,3.323231429,3.323231429,0,0.19047619,0,0,0,1
6,27,0,3.726474118,3.54248125,3.54248125,0,0.392857143,0,0,0,1
7,28,0,3.78834134,3.59326969,3.59326969,0,0.344827586,0,0,0,1
6,28,0,3.823498237,3.65366069,3.65366069,0,0.344827586,0,0,0,1
9,31,0,3.798351226,3.026986833,3.567040217,0,0.212121212,0,0,0,0
3,17,0,3.572431251,3.189898095,3.189898095,0,0.611111111,0,0,0,1
