Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
www.coronabrushes.com,4,19,0,3.5585186130489057,3.238901256602631,3.454822399946607,0,0.3333333333333333,0,0,0,1,0
www.coronaca.gov,4,14,0,3.0306390622295662,2.25,2.688721875540867,1,0.375,0,0,0,1,0
www.coronacigar.com,4,17,0,3.18136632889146,2.7321588913645707,3.0565647621309537,1,0.3157894736842105,0,0,0,1,0
www.coronafs.com,4,14,0,3.1556390622295662,2.75,3.0220552088742,0,0.375,0,0,0,1,0
www.coronainsights.com,4,20,0,3.5726236638951634,3.2359263506290334,3.4613201402110083,0,0.36363636363636365,0,0,0,1,0
www.coronalighting.com,4,20,0,3.5726236638951634,3.2359263506290334,3.4613201402110083,0,0.36363636363636365,0,0,0,1,0
www.coronaregional.com,4,20,0,3.425118550357139,3.039148671903072,3.3082708345352603,0,0.36363636363636365,0,0,0,1,0
www.coronasolutions.com,4,21,0,3.4642346527265664,3.1068905956085184,3.3660913291191936,0,0.391304347826087,0,0,0,1,0
www.coronatoolsusa.com,5,20,0,3.3519530742463752,2.950212064914747,3.2390979179887864,1,0.2727272727272727,0,0,0,1,0
www.coronatracker.com,4,19,0,3.2961483747476232,2.8731406795131336,3.1751231351134614,1,0.3333333333333333,0,0,0,1,0
www.coronausa.com,4,15,0,3.1751231351134614,2.725480556997868,3.0269868333592873,1,0.35294117647058826,0,0,0,1,0
www.coronav.com.br,5,16,0,3.155221528859512,2.5216406363433186,2.845350936622437,0,0.3333333333333333,0,0,0,1,0
www.coronavirua.df.gov.br,7,23,0,3.5932696895151075,2.9139770731827523,3.189898095464287,0,0.24,1,0,0,1,0
www.coronavirus-analysis.gov.jo,5,29,1,3.824533406881911,3.446439344671015,3.6572682296173897,0,0.3548387096774194,0,0,0,1,0
www.coronavirus-business-complaint.service.gov.uk,7,47,1,4.127080191266614,2.5216406363433186,4.008056339745008,1,0.22448979591836735,0,0,0,2,0
www.coronavirus-map.com.br,5,24,1,3.7381493331928652,3.506890595608518,3.6818808028034042,0,0.4230769230769231,0,0,0,1,0
www.coronavirus-mg.com.br,5,23,1,3.7230741894285684,3.52164063634332,3.6835423624332306,0,0.44,0,0,0,1,0
www.coronavirus-new.miami.edu,5,27,1,3.771437029461126,1.5219280948873621,3.653660689688185,1,0.3793103448275862,0,0,0,2,0
www.coronavirus.agenciamoustache.com.br,6,37,0,3.9133567059307888,3.452819531114783,3.8667292966721747,1,0.28205128205128205,0,0,0,2,0
www.coronavirus.alaska.gov,4,24,0,3.6133373140453067,1.7924812503605778,3.51602764126623,1,0.4230769230769231,0,0,0,2,0
www.coronavirus.alemparaiba.mg.gov.br,8,35,0,3.8383977993262324,2.7321588913645707,3.7504647066537014,0,0.2972972972972973,0,0,0,2,0
www.coronavirus.amarante.ma.gov.br,7,32,0,3.7130788426267936,2.4056390622295662,3.6053885422075345,0,0.3235294117647059,0,0,0,2,0
www.coronavirus.amazonas.am.gov.br,6,32,0,3.654255313215029,2.4056390622295662,3.522055208874201,1,0.3235294117647059,0,0,0,2,0
www.coronavirus.barretos.sp.gov.br,7,32,0,3.7130788426267936,2.75,3.605388542207534,0,0.3235294117647059,0,0,0,2,0
www.coronavirus.cajamar.sp.gov.br,7,31,0,3.7377451654565217,2.128085278891395,3.501397825434103,0,0.3333333333333333,0,0,0,2,0
www.coronavirus.caldas.gov.co,5,27,0,3.6074753914554893,2.2516291673878226,3.5726236638951634,0,0.3793103448275862,0,0,0,2,0
www.coronavirus.caltech.edu,4,25,0,3.856196298219381,2.5216406363433186,3.7622673906514947,1,0.4074074074074074,0,0,0,2,0
www.coronavirus.camara.ms.gov.br,6,30,0,3.5900182662886326,1.7924812503605778,3.3908054820769813,0,0.34375,0,0,0,2,0
www.coronavirus.campogrande.al.gov.br,7,35,0,3.9023039608559693,3.2776134368191165,3.828237501842956,0,0.2972972972972973,0,0,0,2,0
www.coronavirus.ceara.gov.br,6,26,0,3.5836169753972325,1.9219280948873623,3.427333493898264,1,0.39285714285714285,0,0,0,2,0
www.coronavirus.cesariolange.sp.gov.br,7,36,0,3.830182698156028,3.2516291673878226,3.699513850319966,0,0.2894736842105263,0,0,0,2,0
www.coronavirus.chubut.gov.ar,5,27,0,3.71937582241537,2.2516291673878226,3.6635327548042538,1,0.3793103448275862,0,0,0,2,0
www.coronavirus.cihanuniversity.edu.iq,7,36,0,3.9155803954675155,3.4565647621309536,3.7843684875968617,0,0.2894736842105263,0,0,0,2,0
www.coronavirus.com.br,4,20,0,3.503997527334847,3.0957952550009344,3.32323142879762,0,0.5,0,0,0,1,0
www.coronavirus.consorcioconiape.pe.gov.br,12,40,0,3.689322483842321,2.952819531114783,3.4834585933443494,0,0.2619047619047619,0,0,0,2,0
www.coronavirus.cruzeirodooeste.pr.gov.br,8,39,0,3.8419674805347275,3.139572261986723,3.6922796820396573,0,0.2682926829268293,0,0,0,2,0
www.coronavirus.df.gov.br,5,23,0,3.673269689515107,3.0957952550009344,3.32323142879762,0,0.44,0,0,0,1,0
www.coronavirus.duquedecaxias.rj.gov.br,8,37,0,3.9872178475009488,3.0850551027564768,3.8143719431796272,0,0.28205128205128205,0,0,0,2,0
www.coronavirus.edu.pl,4,20,0,3.7544418457133446,3.0957952550009344,3.32323142879762,0,0.5,0,0,0,1,0
www.coronavirus.es.gov.br,5,23,0,3.5932696895151075,3.0957952550009344,3.32323142879762,0,0.44,0,0,0,1,0
www.coronavirus.esesanjeronimo.gov.co,7,35,0,3.71528545981424,3.039148671903071,3.647742678581274,0,0.2972972972972973,0,0,0,2,0
