Unified_url,Reachable_URL,Way_back_archived,Freenom_top_level_domain,Previous_malicious_top_level_domain_TLD,Name_length,Wrong_spell_List,Longest_word_ratio,Special_mark,sub_domain,Contain_Weried_number_combination,levenshtein_distance,Alexa_rank,Status_code,start_date,wildcard_subdomain,Redirect_URL,Created on 2020
www.princeton.edu,0,1,0,0,3,0,0.13333333333333333,0,2,0,9,6731,403,1987,0,0,0
www.ptinews.com,0,1,0,0,4,0,0.15384615384615385,0,2,0,6,25404,500,1999,1,0,0
www.ptsd.va.gov,1,1,0,0,4,0,0.15384615384615385,0,3,0,7,3684,200,1985,0,0,0
www.publichealth.hscni.net,1,1,0,0,7,0,0.08333333333333333,0,3,0,16,167015,200,2007,0,0,0
www.publichealthontario.ca,1,1,0,0,5,0,0.08333333333333333,0,2,0,15,86855,200,1987,0,0,0
www.quebec.ca,1,1,0,0,3,0,0.18181818181818185,0,2,0,6,25081,200,1987,0,0,0
www.queensu.ca,1,1,0,0,4,0,0.16666666666666666,0,2,0,7,9830,200,1987,0,0,0
www.questdiagnostics.com,1,1,0,0,4,0,0.09090909090909093,0,2,0,8,7183,200,1997,0,0,0
www.radio.com,1,0,0,0,3,0,0.18181818181818185,0,2,0,5,6505,200,1996,0,0,0
www.rcdhu.com,1,1,0,0,4,0,0.18181818181818185,0,2,0,5,2783964,200,2000,0,0,0
www.rcog.org.uk,1,1,0,0,5,0,0.15384615384615385,0,3,0,7,87074,200,1996,0,0,0
www.rd.usda.gov,1,0,0,0,4,0,0.15384615384615385,0,3,0,8,2885,200,1985,0,0,0
www.realtor.com,1,1,0,0,3,0,0.15384615384615385,0,2,0,6,342,200,1995,0,0,0
www.reddit.com,0,1,0,0,3,0,0.16666666666666666,0,2,0,5,18,401,2005,1,0,0
www.reuters.com,1,1,0,0,3,0,0.15384615384615385,0,2,0,4,430,200,1993,0,0,0
www.rheumatology.org,1,1,0,0,5,0,0.1111111111111111,0,2,0,9,161956,200,1995,0,0,0
www.rivcoph.org,1,1,0,0,5,0,0.15384615384615385,0,2,0,6,87739,200,2001,0,0,0
www.riversideca.gov,1,1,0,0,4,0,0.1176470588235294,0,2,0,9,148581,200,1985,0,0,0
www.sac-isc.gc.ca,1,0,0,0,6,0,0.13333333333333333,1,3,0,9,342308,200,1987,0,0,0
www.safeco.com,1,1,0,0,3,0,0.16666666666666666,0,2,0,6,27520,200,1994,0,0,0
www.samhsa.gov,1,1,0,0,5,0,0.16666666666666666,0,2,0,7,38052,200,1985,0,0,0
www.sba.gov,1,1,0,0,4,0,0.2222222222222222,0,2,0,6,2623,200,1985,0,0,0
www.sbs.com.au,1,1,0,0,4,0,0.16666666666666666,0,3,0,6,5006,200,1986,0,0,0
www.sccgov.org,1,1,0,0,5,0,0.16666666666666666,0,2,0,4,19140,200,2002,0,0,0
www.sccm.org,1,1,0,0,4,0,0.2,0,2,0,5,240689,200,1994,1,0,0
www.scdhec.gov,1,1,0,0,5,0,0.16666666666666666,0,2,0,6,39808,200,1985,0,0,0
www.sciencedirect.com,0,1,0,0,4,0,0.10526315789473684,0,2,0,8,297,403,1997,0,0,0
www.sciencemag.org,1,1,0,0,4,0,0.125,0,2,0,8,3329,200,1996,0,0,0
www.seattlepi.com,1,1,0,0,4,0,0.13333333333333333,0,2,0,6,26200,200,1999,0,0,0
www.sec.gov,1,1,0,0,3,0,0.2222222222222222,0,2,0,6,3527,200,1985,0,0,0
www.securities-administrators.ca,1,1,0,0,4,0,0.06666666666666668,1,2,0,19,519853,200,1987,0,0,0
www.self.com,1,1,0,0,3,0,0.2,0,2,0,5,6002,200,1994,0,0,0
www.seniorscouncil.net,0,1,0,0,4,0,0.1,0,2,0,10,7127281,403,2004,0,0,0
www.snopes.com,1,0,0,0,5,0,0.16666666666666666,0,2,0,5,3278,200,1997,0,0,0
www.socialworkers.org,1,1,0,0,4,0,0.10526315789473684,0,2,0,9,133093,200,1997,0,0,0
www.solg.net,0,1,0,0,4,0,0.2,0,2,0,7,0,403,2006,1,0,0
www.somerset.gov.uk,1,1,0,0,4,0,0.1176470588235294,0,3,0,9,600129,200,1996,0,0,0
www.southernnevadahealthdistrict.org,1,1,0,0,6,0,0.05882352941176471,0,2,0,21,159518,200,2006,0,0,0
www.southwest.com,0,1,0,0,3,0,0.13333333333333333,0,2,0,5,1849,403,1997,0,0,0
www.sprint.com,1,1,0,0,3,0,0.16666666666666666,0,2,0,5,2285,200,1990,0,0,0
www.staradvertiser.com,0,1,0,0,4,0,0.1,0,2,0,9,25956,403,2009,0,0,0
www.statcan.gc.ca,1,1,0,0,5,0,0.13333333333333333,0,3,0,9,17894,200,1987,0,0,0
www.state.gov,0,1,0,0,3,0,0.18181818181818185,0,2,0,7,870,403,1985,0,0,0
www.statista.com,1,1,0,0,4,0,0.14285714285714285,0,2,0,5,1089,200,2005,0,0,0
www.tableau.com,1,1,0,0,3,0,0.15384615384615385,0,2,0,5,2090,200,1996,0,0,0
www.tampagov.net,1,1,0,0,4,0,0.14285714285714285,0,2,0,8,110228,200,1999,0,0,0
www.tdjakes.org,1,1,0,0,4,0,0.15384615384615385,0,2,0,6,325023,200,1996,0,0,0
www.texas.gov,1,1,0,0,3,0,0.18181818181818185,0,2,0,6,2010,200,1985,0,0,0
www.thailandmedical.news,1,1,0,0,4,0,0.09090909090909093,0,2,0,13,121777,200,2015,0,0,0
www.theatlantic.com,1,0,0,0,4,0,0.1176470588235294,0,2,0,7,1545,200,1995,0,0,0
www.theblaze.com,1,1,0,0,4,0,0.14285714285714285,0,2,0,5,3829,200,2000,0,0,0
www.thechronicleherald.ca,1,1,0,0,5,0,0.08695652173913042,0,2,0,13,76120,200,1987,0,0,0
www.theglobeandmail.com,1,1,0,0,6,0,0.09523809523809523,0,2,0,10,5394,200,1995,0,0,0
www.theguardian.com,1,0,0,0,4,0,0.1176470588235294,0,2,0,7,146,200,1994,0,0,0
www.themoscowtimes.com,1,1,0,0,5,0,0.1,0,2,0,9,32082,200,2000,1,0,0
www.thestar.com,1,1,0,0,4,0,0.15384615384615385,0,2,0,3,8242,200,1995,0,0,0
www.thesun.co.uk,1,1,0,0,5,0,0.14285714285714285,0,3,0,6,1589,200,1997,0,0,0
www.timescolonist.com,1,1,0,0,4,0,0.10526315789473684,0,2,0,9,87928,200,1999,0,0,0
www.transit.dot.gov,1,1,0,0,4,0,0.1176470588235294,0,3,0,10,11751,200,1985,0,0,0
www.travelers.com,1,1,0,0,3,0,0.13333333333333333,0,2,0,6,14060,200,1996,0,0,0
www.tsa.gov,0,1,0,0,3,0,0.2222222222222222,0,2,0,6,28094,403,1985,0,0,0
www.tuc.org.uk,0,1,0,0,4,0,0.16666666666666666,0,3,0,7,416263,403,1996,1,0,0
www.twc.texas.gov,1,1,0,0,5,0,0.13333333333333333,0,3,0,7,2010,200,1985,1,0,0
www.ualberta.ca,1,1,0,0,4,0,0.15384615384615385,0,2,0,6,11316,200,1987,0,0,0
www.uhn.ca,1,1,0,0,4,0,0.25,0,2,0,5,95207,200,1987,0,0,0
www.un.org,1,1,0,0,3,0,0.25,0,2,0,6,1360,200,1995,0,0,0
www.unc.edu,1,1,0,0,3,0,0.2222222222222222,0,2,0,6,6354,200,1986,0,0,0
www.undp.org,1,1,0,0,3,0,0.2,0,2,0,7,5342,200,1991,0,0,0
www.unicef.org,1,1,0,0,3,0,0.16666666666666666,0,2,0,7,6139,200,1993,0,0,0
www.universitiesuk.ac.uk,1,1,0,0,5,0,0.09090909090909093,0,3,0,14,435987,200,2003,0,0,0
www.unwto.org,1,1,0,0,4,0,0.18181818181818185,0,2,0,6,26301,200,2005,1,0,0
www.uofmhealth.org,1,1,0,0,6,0,0.125,0,2,0,8,30554,200,2009,0,0,0
www.upmc.com,1,1,0,0,4,0,0.2,0,2,0,5,32640,200,1999,0,0,0
www.usa.gov,1,1,0,0,3,0,0.2222222222222222,0,2,0,6,5490,200,1985,0,0,0
www.usatoday.com,1,1,0,0,4,0,0.14285714285714285,0,2,0,6,510,200,1994,1,0,0
www.usbank.com,1,1,0,0,4,0,0.16666666666666666,0,2,0,5,951,200,1995,0,0,0
www.uschamber.com,1,1,0,0,4,0,0.13333333333333333,0,2,0,6,29691,200,1996,0,0,0
www.usef.org,0,1,0,0,4,0,0.2,0,2,0,6,207611,403,2003,0,0,0
www.usg.edu,1,1,0,0,3,0,0.2222222222222222,0,2,0,6,4639,200,1998,0,0,0
www.uspto.gov,1,1,0,0,4,0,0.18181818181818185,0,2,0,6,6447,200,1985,0,0,0
www.utoronto.ca,1,1,0,0,4,0,0.15384615384615385,0,2,0,7,2658,200,1987,0,0,0
www.uvic.ca,1,1,0,0,4,0,0.2222222222222222,0,2,0,5,13860,200,1987,0,0,0
www.uwindsor.ca,1,1,0,0,4,0,0.15384615384615385,0,2,0,7,33852,200,1987,0,0,0
www.uwo.ca,1,1,0,0,4,0,0.25,0,2,0,5,10298,200,1987,0,0,0
www.va.gov,1,1,0,0,3,0,0.25,0,2,0,6,3684,200,1985,0,0,0
www.vdh.virginia.gov,0,1,0,0,5,0,0.1111111111111111,0,3,0,10,2816,500,1985,0,0,0
www.virginia.gov,1,1,0,0,3,0,0.14285714285714285,0,2,0,7,2816,200,1985,0,0,0
www.visualcapitalist.com,0,1,0,0,4,0,0.09090909090909093,0,2,0,11,6855,403,2011,0,0,0
www.vitaltalk.org,1,1,0,0,4,0,0.13333333333333333,0,2,0,8,1773969,200,2012,0,0,0
www.washington.edu,1,1,0,0,3,0,0.125,0,2,0,8,3428,200,1986,0,0,0
www.washingtonpost.com,1,1,0,0,4,0,0.1,0,2,0,9,181,200,1995,0,0,0
www.webmd.com,0,1,0,0,4,0,0.18181818181818185,0,2,0,5,453,403,1998,0,0,0
www.wef.org,0,1,0,0,4,0,0.2222222222222222,0,2,0,6,335505,403,1994,0,0,0
www.weforum.org,1,1,0,0,4,0,0.15384615384615385,0,2,0,6,3499,200,1995,0,0,0
www.whatsapp.com,1,1,0,0,5,0,0.14285714285714285,0,2,0,6,70,200,2008,0,0,0
www.whitehouse.gov,1,1,0,0,3,0,0.125,0,2,0,9,4635,200,1985,0,0,0
www.who.int,1,1,0,0,4,0,0.2222222222222222,0,2,0,6,470,200,1998,0,0,0
www.wikipedia.org,1,1,0,0,3,0,0.13333333333333333,0,2,0,7,14,200,2001,0,0,0
www.wired.com,1,1,0,0,3,0,0.18181818181818185,0,2,0,4,1479,200,1992,0,0,0
www.worksafebc.com,1,1,0,0,5,0,0.125,0,2,0,6,86653,200,1999,0,0,0
www.worldometers.info,0,1,0,0,5,0,0.10526315789473684,0,2,0,9,103,403,2004,0,0,0
www.wptv.com,1,1,0,0,4,0,0.2,0,2,0,5,49608,200,1995,0,0,0
www.wsj.com,0,1,0,0,4,0,0.2222222222222222,0,2,0,5,432,404,1994,0,0,0
www.wxyz.com,1,1,0,0,4,0,0.2,0,2,0,6,42701,200,1998,0,0,0
www.youtube.com,1,1,0,0,3,0,0.15384615384615385,0,2,0,5,2,200,2005,0,0,0
www1.nyc.gov,1,1,0,0,4,0,0.2,0,2,0,7,2643,200,1985,0,0,0
www2.deloitte.com,0,1,0,0,6,0,0.13333333333333333,0,2,0,6,2845,403,1995,0,0,0
www2.gmu.edu,1,1,0,0,5,0,0.2,0,2,0,7,11776,200,1987,0,0,0
www2.gnb.ca,1,1,0,0,5,0,0.2222222222222222,0,2,0,6,61648,200,1987,0,0,0
www2.gov.bc.ca,1,1,0,0,5,0,0.16666666666666666,0,3,0,7,5114,200,1987,0,0,0
www2.hse.ie,1,1,0,0,4,0,0.2222222222222222,0,2,0,6,38132,200,1988,0,0,0
yukon.ca,1,1,0,0,2,0,0.3333333333333333,0,1,0,6,324868,200,1988,0,0,0
zimnoch.smugmug.com,1,0,0,0,6,0,0.1176470588235294,0,2,0,12,4820,200,1988,1,0,0
